Symbol,Name
FSE/TTK_X,Takkt (TTK_X)
FSE/TEG_X,Tag Immobilien (TEG_X)
FSE/TTI_X,Tom Tailor Holding (TTI_X)
FSE/TLX_X,Talanx Aktiengesellschaft (TLX_X)
FSE/UTDI_X,United Internet (UTDI_X)
FSE/WCH_X,Wacker Chemie (WCH_X)
FSE/ZO1_X,Zooplus (ZO1_X)
FSE/SIE_X,Siemens (SIE_X)
FSE/DIC_X,Dic Asset (DIC_X)
FSE/CEV_X,Centrotec Sustainable (CEV_X)
FSE/ALV_X,Allianz Se (ALV_X)
FSE/BBZA_X,Bb Biotech (BBZA_X)
FSE/B5A_X,Bauer Aktiengesellschaft (B5A_X)
FSE/BEI_X,Beiersdorf Aktiengesellschaft (BEI_X)
FSE/COP_X,Compugroup Medical (COP_X)
FSE/FRE_X,Fresenius Se & Co. Kgaa (FRE_X)
FSE/GFK_X,Gfk Se (GFK_X)
FSE/GWI1_X,Gerry Weber International (GWI1_X)
FSE/HAW_X,Hawesko Holding (HAW_X)
FSE/HNR1_X,Hannover Rück Se (HNR1_X)
FSE/HEN3_X,Henkel  & Co. Kgaa Vz (HEN3_X)
FSE/HEI_X,Heidelbergcement (HEI_X)
FSE/INH_X,Indus Holding (INH_X)
FSE/MAN_X,Man Se St (MAN_X)
FSE/SOW_X,Software (SOW_X)
FSE/SAX_X,Ströer Media (SAX_X)
FSE/SLT_X,Schaltbau Holding (SLT_X)
FSE/SAP_X,Sap (SAP_X)
FSE/SY1_X,Symrise (SY1_X)
FSE/WAC_X,Wacker Neuson Se (WAC_X)
FSE/KWS_X,Kws Saat (KWS_X)
FSE/O2D_X,Telefónica Deutschland Holding AG (O2D_X)
FSE/VIB3_X,Villeroy & Boch  Vz (VIB3_X)
FSE/SPR_X,Axel Springer Se (SPR_X)
FSE/LHA_X,Deutsche Lufthansa (LHA_X)
FSE/GBF_X,Bilfinger Se (GBF_X)
FSE/VOW3_X,Volkswagen  Vz (VOW3_X)
FSE/TIM_X,Tipp24 Se (TIM_X)
FSE/GLJ_X,Grenkeleasing (GLJ_X)
FSE/KD8_X,Kabel Deutschland Holding (KD8_X)
